Model,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_R²,Test_R²
Random Forest,7.761055858910669,16.126859026510274,12.354193532740608,30.959598997193375,0.9216595307147922,0.6339560559507744
SVR,15.263555242845543,20.992699491489965,29.66129921951121,38.58216240338128,0.5484168715327298,0.4315193300738899
BPNN,13.508352902372472,20.61887409198676,21.18935628072968,34.12011427465429,0.7695414131174197,0.5554060726148434
